site_url,page_url,src,alt
https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/entomology/collections-overview/coleoptera/catalog-hispines-world,https://naturalhistory.si.edu/sites/default/files/media/image/si-logo-white.png,Smithsonian Logo white
https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/entomology/collections-overview/coleoptera/catalog-hispines-world,https://naturalhistory.si.edu/sites/default/files/styles/hero/public/media/image/ent-hero-jewels-wandoo-np.jpg.webp?itok=UCCWT_j_,Hero image
https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/teaching-resources/social-studies/written-in-bone-microsite,https://naturalhistory.si.edu/sites/default/files/media/image/si-logo-white.png,Smithsonian Logo white
https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/teaching-resources/social-studies/written-in-bone-microsite,https://naturalhistory.si.edu/sites/default/files/styles/resource_side/public/media/image/wibtraining-next-generationr.jpg.webp?itok=-d2tiIdv,Smithsonian forensic anthropologist points out area of interest in a piece of bone to students.
https://naturalhistory.si.edu,https://naturalhistory.si.edu/staff/carol-r-butler,https://naturalhistory.si.edu/sites/default/files/media/image/si-logo-white.png,Smithsonian Logo white
https://naturalhistory.si.edu,https://naturalhistory.si.edu/staff/carol-r-butler,https://naturalhistory.si.edu/sites/default/files/styles/profile/public/media/image/nmnh-2022-00461-cropped.jpg.webp?itok=GKZDxEc5,"A headshot of Carol Butler, a white woman with gray hair wearing a white shirt, black sweater and colorful scarf. "
https://naturalhistory.si.edu,https://naturalhistory.si.edu/staff/michael-lawrence,https://naturalhistory.si.edu/sites/default/files/media/image/si-logo-white.png,Smithsonian Logo white
https://naturalhistory.si.edu,https://naturalhistory.si.edu/staff/michael-lawrence,https://naturalhistory.si.edu/sites/default/files/styles/profile/public/media/image/michaellawrencenmnh-2019-square.jpg.webp?itok=6GfNZrb9,Headshot of Michael Lawrence
https://naturalhistory.si.edu,https://naturalhistory.si.edu/staff/sandra-lovinguth,https://naturalhistory.si.edu/sites/default/files/media/image/si-logo-white.png,Smithsonian Logo white
https://naturalhistory.si.edu,https://naturalhistory.si.edu/staff/sandra-lovinguth,https://naturalhistory.si.edu/sites/default/files/styles/profile/public/media/image/sandralovinguth.jpg.webp?itok=rhbu5pOi,Headshot of Sandra Lovinguth
https://naturalhistory.si.edu,https://naturalhistory.si.edu/staff/matthew-mcdermott,https://naturalhistory.si.edu/sites/default/files/media/image/si-logo-white.png,Smithsonian Logo white
